l_russian:
 dhe_pharos_tooltip:0 "Начинается строительство маяка."
 dhe_slave.1.a:0 "Арестовать смутьяна и его сторонников и распять их."
 dhe_slave.1.b:0 "Разделить группу и расправиться с главарём."
 dhe_slave.1.c:0 "[SCOPE.sChar('incendiary_slave_scope').GetPraenomen] может нам пригодиться."
 dhe_slave.1.ct:0 "Появится персонаж с чертой #T сладкоречие#! по имени [SCOPE.sChar('incendiary_slave_scope').GetName]."
 dhe_slave.1.d:0 "И что с того?"
 dhe_slave.1.dt:0 "Каждый город в провинции #Y [SCOPE.sP('incendiary_slave_city_scope').GetState.GetName]#! получает #Y необузданное движение рабов#! на #Y 10 лет#!, что даёт следующее:\nПроизводительность рабов в провинции: #R –25,00%#!\nДовольство рабов в провинции: #R –25,00%#!"
 dhe_slave.2.t:0 "Превосходные условия в городе [SCOPE.sP('excellent_conditions_city_scope').GetName]"
 dhe_slave.2.desc:0 "По счастливому ли стечению обстоятельств, с благословения ли, которое дарует богиня [ROOT.GetCountry.Custom('get_fortune_goddess')], или просто благодаря заботливому управлению, но за прошедший год производство в городе [SCOPE.sP('excellent_conditions_city_scope').GetName] значительно превзошло прогнозы местных чиновников и руководителей.\n\nХотя мы могли бы просто воспользоваться этими благами для краткосрочной выгоды, кое-кто выразил мысль, что всем стоит изучить организацию рабов в городе [SCOPE.sP('excellent_conditions_city_scope').GetName]: там рабы, судя по всему, необычайно довольны, а их производительность необычайно высока. Возможно, усвоенные уроки можно будет применить по всей провинции [SCOPE.sP('excellent_conditions_city_scope').GetState.GetShortName]. Впрочем, мы, конечно, можем оставить всё, как есть."
 dhe_slave.2.a:0 "Нужно по возможности использовать эту полосу удачи."
 dhe_slave.2.b:0 "Мы можем применить этот опыт по всей провинции."
 dhe_slave.2.c:0 "У них всё под контролем."
 dhe_slave.2.d:0 "[ROOT.GetCountry.GetRulerTitle] займётся этим делом лично..."
 dhe_slave.2.dt:0 "Этот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя"
 dhe_slave.3.t:0 "Раб [SCOPE.sChar('dhe_slave_politician_scope').GetPraenomen]"
 dhe_slave.3.desc:0 "С недавних пор по всему зданию Сената собираются группки людей и приглушёнными голосами обсуждают новости. Амбициозный вольноотпущенник из Либертинов проделал путь из подворотен родного города [SCOPE.sP('dhe_slave_politician_birthplace_scope').GetName] до народного собрания, выиграв местные выборы при широкой поддержке населения.\n\nНедоброжелатели горячо обсуждают, можно ли [SCOPE.sChar('dhe_slave_politician_scope').GetHerHis] успех объяснить только личными заслугами или [SCOPE.sChar('dhe_slave_politician_scope').GetSheHe] пользуется некими бесчестными средствами. В любом случае, [SCOPE.sChar('dhe_slave_politician_scope').GetPraenomen] и [SCOPE.sChar('dhe_slave_politician_scope').GetHerHis] сторонники требуют для н[SCOPE.sChar('dhe_slave_politician_scope').GetHerHis] должности, которая соответствовала бы [SCOPE.sChar('dhe_slave_politician_scope').GetHerHis] талантам.\n\nЕстественно, представители Сената с более традиционными взглядами вовсе не хотят терпеть его присутствие и считают, что возвышение бывших рабов умаляет их собственное благородное происхождение."
 dhe_slave.3.a:0 "[SCOPE.sChar('dhe_slave_politician_scope').GetSheHe|U] пойдёт ещё дальше..."
 dhe_slave.3.at:0 "[SCOPE.sChar('dhe_slave_politician_scope').GetName] получит #Y пост#! по способностям."
 dhe_slave.3.b:0 "Мы не потерпим рабов в Сенате!"
 dhe_slave.3.c:0 "Вмешиваться в политику? Ни за что."
 dhe_slave.3.ct:0 "[SCOPE.sChar('dhe_slave_politician_scope').GetName] имеет шанс получить #Y пост#! в соответствии со своими способностями."
 dhe_slave.3.d:0 "Эту ситуацию можно решить очень легко..."
 dhe_slave.3.dt1:0 "[SCOPE.sChar('dhe_slave_politician_scope').GetName] просто исчезнет."
 dhe_slave.3.dt2:0 "Этот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя."
 dhe_slave.4.t:0 "Несчастный случай в городе [SCOPE.sP('dhe_slave_accident_city_scope').GetName]"
 dhe_slave.4.desc:0 "Нам сообщили о серьёзной аварии, произошедшей на работах в окрестностях города [SCOPE.sP('dhe_slave_accident_city_scope').GetName], что в провинции [SCOPE.sP('dhe_slave_accident_city_scope').GetState.GetShortName]. Основной товар, который производят в городе, — это [SCOPE.sP('dhe_slave_accident_city_scope').GetTradeGoods.GetName]. Глупцы-управляющие, по-видимому, не следили за работами, что привело к чудовищному обрушению конструкций.\n\nПочти все рабы, бывшие в тот день на работах, погибли, и их хозяева теперь хотят получить компенсацию, чтобы восстановить производство. Уцелевшие же рабы опечалены гибелью друзей и близких и не хотят продолжать работу в таких условиях.\n\nБез значительного ремонта производство не скоро достигнет прежних масштабов. Если же мы не проявим доброжелательности, у нас непременно начнутся проблемы с рабами."
 dhe_slave.4.a:0 "Выплатить компенсации владельцам и обеспечить приличные условия работы."
 dhe_slave.4.b:0 "Мы покроем только расходы на ремонт."
 dhe_slave.4.c:0 "Мы подачки не раздаём."
 dhe_slave.4.d:0 "Во имя всего святого, отберите собственность и выплатите компенсации рабам!"
 dhe_slave.4.dt:0 "Этот вариант доступен в связи с #Y хорошей репутацией#! вашего правителя."
 dhe_slave.5.t:0 "Жестокое обращение в городе [SCOPE.sP('dhe_slave_harsh_treatment_city_scope').GetName]"
 dhe_slave.5.desc:0 "Город [SCOPE.sP('dhe_slave_harsh_treatment_city_scope').GetName] стал центром напряжённости, растущей по всей провинции [SCOPE.sP('dhe_slave_harsh_treatment_city_scope').GetState.GetShortName]: там, чтобы получить ещё больше прибыли, обращаются с рабами исключительно жестоко. Поступают сообщения о жалком уровне жизни рабочих: им дают лишь столько пищи, чтобы они не умерли от голода и могли продолжать работу. Кроме того, рассказывают о чрезмерно жестоких наказаниях, которые ждут тамошних рабов за малейшую провинность.\n\nПоложение усугубляется ещё и тем, что представители Сената, во главе которых стоит [SCOPE.sChar('dhe_slave_populist_politican').GetName], воспользовались удобным случаем и начали личную кампанию за реформу обращения с рабами, чтобы заручиться поддержкой вольноотпущенников. Закон, который они готовят, взбудоражит рабовладельцев по всей стране.\n\nВ такие времена сохранить баланс между популизмом и благоразумным управлением весьма нелегко."
 dhe_slave.5.a:0 "Это надо остановить."
 dhe_slave.5.b:0 "Так устроен мир — они привыкнут."
 dhe_slave.5.c:0 "Ситуация, похоже, под контролем."
 dhe_slave.6.t:0 "Скандал из-за долговой кабалы"
 dhe_slave.6.desc:0 "Хотя рабы являются важной частью экономики и общества державы [ROOT.GetCountry.GetName], само количество рабов начинает вызывать озабоченность. Некоторые утверждают, что число невольников, растущее из-за строгой политики освобождения и из-за практики долговой кабалы, необходимо уменьшить. В результате мы сможем получить достаточно свободных людей для содержания наших военных владений и мелких хозяйств.\n\n[SCOPE.sChar('debt_reformer_scope').GetName] уже некоторое время выступает за то, чтобы внести изменения в правила долговой кабалы, руководствуясь, несомненно, собственными политическими мотивами. С другой стороны, [SCOPE.sChar('debt_supporter_scope').GetName], особенно яркий сторонник долговой кабалы, считает, что у должников не должно быть возможности избежать выплаты долга. При этом, по [SCOPE.sChar('debt_supporter_scope').GetHerHis] мнению, тюремное заключение для должников лишь ослабляет государство и не помогает заимодавцам.\n\nМы можем воспользоваться шансом и решить проблему роста количества рабов. Или же можно поддержать интересы рабовладельцев."
 dhe_slave.6.a:0 "У нас и так достаточно рабов. Нам нужны свободные люди!"
 dhe_slave.6.at:0 "Правительство профинансирует освобождение рабов по всей стране: в каждом городе, где есть более 4 групп рабов, 1 группа рабов будет повышена до статуса свободных людей."
 dhe_slave.6.b:0 "Рабы — основа любой успешной экономики."
 dhe_slave.6.c:0 "Нет нужды вмешиваться."
 dhe_slave.7.t:0 "Семья бывшего раба"
 dhe_slave.7.desc:0 "Удивительно трудолюбивый и талантливый раб по имени [SCOPE.sChar('slave_family_1').GetName] наперекор всему достигает вершины социальной иерархии. Родившись в конюшне на окраинах города [SCOPE.sP('slave_family_birthplace_scope').GetName], он получил образование благодаря доброте своего хозяина, усердно работал, чтобы стать главным в хозяйстве, и в конце концов был освобождён. Он прибыл в город [ROOT.GetCountry.GetCapital.GetName] и сумел нажиться на каких-то торговых сделках, потом занимал должность какого-то местного магистрата, а теперь выиграл выборы в [ROOT.GetCountry.Custom('get_court_type')].\n\nКак и ожидалось, знать недовольна даже тем, что дышит одним воздухом с бывшим рабом, не говоря уже о том, чтобы сидеть с ним рядом на скамьях законодательного собрания. Поднятая шумиха поставила под вопрос правильность нашей политики в том, что касается допуска в Сенат и освобождения рабов.\n\nХотя [SCOPE.sChar('slave_family_1').GetPraenomen] не является патрицием по крови, это вполне обеспеченный человек, имеющий некоторое влияние в державе [ROOT.GetCountry.GetName], а его дети [SCOPE.sChar('slave_family_2').GetPraenomen] и [SCOPE.sChar('slave_family_3').GetPraenomen], несомненно, унаследовали его решительный характер."
 dhe_slave.7.a:0 "В Сенате новая кровь не помешает..."
 dhe_slave.7.b:0 "Дайте им понять, что им не рады."
 dhe_slave.7.c:0 "Это создаст опасный прецедент."
 dhe_slave.7.ct:0 "[SCOPE.sChar('slave_family_1').GetName] и его дети отправятся в державу [SCOPE.sC('dhe_slave_family_country').GetName]."
 dhe_slave.7.d:0 "Зачем обсуждать сплетни?"
 dhe_slave.8.t:0 "[SCOPE.sChar('unethical_dominus_scope').Custom('get_dominus_domina')] в центре скандала"
 dhe_slave.8.desc:0 "Распутство и злонравие, которыми славится [SCOPE.sChar('unethical_dominus_scope').GetName], хорошо известны в высших кругах города [ROOT.GetCountry.GetCapital.GetName], однако никто не ожидал, что против этого человека выдвинут ужасающий поток обвинений.\n\nРастут слухи о чудовищных непристойностях, совершаемых с рабами во время пирушек, на которых чествуется бог [ROOT.GetCountry.Custom('get_wine_god')] и где [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] и [SCOPE.sChar('unethical_dominus_scope').GetHerHis] распутная свита демонстрирует свои богатства и унижает окружающих. [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] отрицает всё, заявляя, что это клевета, сочинённая [SCOPE.sChar('unethical_dominus_scope').GetHerHis] политическими противниками.\n\nСплетни, однако, подтверждаются свидетелями, которые признаются, что [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] лично несёт ответственность за то, что их честь запятнана, а рабы и добродетельные граждане по всей провинции [ROOT.GetCountry.GetCapital.GetState.GetShortName] требуют, чтобы власти начали расследование и остановили бесчинства. То есть закрывать глаза на эту ситуацию невозможно."
 dhe_slave.8.a:0 "Мы проведём беспристрастное расследование."
 dhe_slave.8.at:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют по #R 10#! ед. верности@loyalty_icon!"
 dhe_slave.8.b:0 "Поспрашиваем народ — и довольно..."
 dhe_slave.8.c:0 "Честно говоря, не понимаю, зачем тратить на это время."
 dhe_slave.8.ct:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют #G 10#! ед. @loyalty_icon! верности."
 dhe_slave.9.t:0 "События в суде"
 dhe_slave.9.desc_1:0 "Хотя предстоит собрать ещё немало свидетельских показаний и изучить отдельные злодеяния (как религиозные, так и светские), уже сейчас ясно, что [SCOPE.sChar('unethical_dominus_scope').GetPraenomen], скорее всего, [Select_CString(unethical_dominus_scope.IsFemale, 'виновна', 'виновен' )].\n\nРасследование ещё не завершено, но кое-кто предлагает [SCOPE.sChar('unethical_dominus_scope').GetHerHis] задержать заранее, чтобы [Select_CString(unethical_dominus_scope.IsFemale, 'преступница не попыталась', 'преступник не попытался' )] избежать правосудия. С другой стороны, это, несомненно, причинит ещё больше страданий членам семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName]."
 dhe_slave.9.desc_2:0 "Хотя расследование дела, в центре которого находится [SCOPE.sChar('unethical_dominus_scope').GetName], должно было стать своего рода символическим жестом, проделанная юристами работа показала [SCOPE.sChar('unethical_dominus_scope').GetHerHis] несомненную вину. Удивительно только, что о злодеяниях в доме семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] не стало известно раньше.\n\nПри этом следует понимать, что подобные ситуации дают удобный повод для людей бесчестных воспользоваться несчастьями своих коллег."
 dhe_slave.9.desc_3:0 "Предстоит собрать ещё немало свидетельских показаний и изучить отдельные деяния (как религиозные, так и светские), в совершении которых обвиняется [SCOPE.sChar('unethical_dominus_scope').GetPraenomen], но уже сейчас можно предположить, что все обвинения — это искусная, но безосновательная клевета [SCOPE.sChar('unethical_dominus_scope').GetHerHis] политических противников.\n\nМы не смогли установить имена клеветников, а лжесвидетели будто бы вовсе исчезли. Кажется, всё это затевалось с единственной целью — очернить доброе имя. Как бы там ни было, расследование будет продолжаться."
 dhe_slave.9.desc_4:0 "Хотя расследование дела, в центре которого находится [SCOPE.sChar('unethical_dominus_scope').GetName], должно было стать своего рода символическим жестом, проделанная юристами работа показала, что [Select_CString(unethical_dominus.IsFemale, 'обвиняемая', 'обвиняемый' )] — жертва клеветы и ведёт заурядный образ жизни.\n\nПохоже, мы избавили себя от хлопот и сэкономили немало денег благодаря тому, что вели расследование без особого энтузиазма. Все согласны с тем, что никакого приговора за этим расследованием не последует — если только не всплывут какие-то чрезвычайно серьёзные улики."
 dhe_slave.9.a:0 "Перевернём всё вверх дном: правосудие должно свершиться."
 dhe_slave.9.b:0 "Просто посмотрим, что получится."
 dhe_slave.9.c:0 "Пусть [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] отправится в тюрьму — на всякий случай."
 dhe_slave.9.ct:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют по #R 20#! ед. верности@loyalty_icon!"
 dhe_slave.9.d:0 "Мы обязательно найдём ещё свидетелей..."
 dhe_slave.9.dt1:0 "Этот вариант доступен, так как ваш правитель #Y соперничает#! с таким человеком, как [SCOPE.sChar('unethical_dominus_scope').GetPraenomen]."
 dhe_slave.9.dt2:0 "Этот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя."
 dhe_slave.9.dt3:0 "Этот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя."
 dhe_slave.9.e:0 "Кто-то явно пытается очернить невиновных..."
 dhe_slave.9.et1:0 "Этот вариант доступен потому, что [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] #Y дружит#! с вашим правителем."
 dhe_slave.9.et2:0 "Этот вариант доступен, так как ваш правитель ведёт #Y общую политику#! с таким человеком, как [SCOPE.sChar('unethical_dominus_scope').GetPraenomen]."
 dhe_slave.9.et3:0 "Этот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя."
 dhe_slave.9.f:0 "Всё можно исправить. За определённую цену..."
 dhe_slave.9.ft:0 "[SCOPE.sChar('unethical_dominus_scope').GetName] получит предложение заплатить нам и таким образом избежать наказания.#!\n\nЭтот вариант доступен в связи с #Y сомнительной репутацией#! вашего правителя."
 dhe_slave.10.t:0 "Попытка вымогательства"
 dhe_slave.10.desc_1:0 "Наш посланник сообщает, что [SCOPE.sChar('unethical_dominus_scope').GetName] отвергает наше щедрое предложение. Похоже, [SCOPE.sChar('unethical_dominus_scope').GetSheHe] не придаёт особой важности ни репутации, ни мощи нашего государства."
 dhe_slave.10.desc_2:0 "Наш посланник сообщает, что [SCOPE.sChar('unethical_dominus_scope').GetName] принимает наше предложение. Нам повезло, что [SCOPE.sChar('unethical_dominus_scope').GetHerHis] репутация так много для н[SCOPE.sChar('unethical_dominus_scope').GetHerHis] значит.\n\nТеперь позаботимся о том, чтобы правосудие совершилось, а мерзкие обвинения были бы признаны несостоятельными."
 dhe_slave.10.a:0 "Мы обеспечим «справедливое судебное разбирательство»."
 dhe_slave.10.b:0 "Какая неблагодарность! [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] скоро усвоит важный урок..."
 dhe_slave.11.t:0 "Скандал близится к завершению"
 dhe_slave.11.desc_1:0 "До нашего сведения дошло, что городская стража, посланная сегодня арестовать человека по имени [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] в [SCOPE.sChar('unethical_dominus_scope').GetHerHis] доме за пределами города [ROOT.GetCountry.GetCapital.GetName] и привести [SCOPE.sChar('unethical_dominus_scope').GetHerHis] в суд, обнаружила, что там никого нет. Только трус мог совершить такое: сбежать на рассвете с большей частью богатств и искать убежища у иноземных друзей.\n\nХотя расследование положило конец распутствам, в которых обвиняется [SCOPE.sChar('unethical_dominus_scope').GetPraenomen], рабы, несомненно, будут возмущены тем, что [SCOPE.sChar('unethical_dominus_scope').GetSheHe] [Select_CString(unethical_dominus_scope, 'избежала', 'избежал' )] наказания. К счастью, стража наткнулась на часть брошенных богатств."
 dhe_slave.11.desc_2:0 "После нескольких недель сбора свидетельских показаний стало ясно, что нелепые слухи, которыми полнится [ROOT.GetCountry.GetCapital.GetName], — запущенны намеренно, чтобы разрушить репутацию относительно порядочного гражданина. В конечном итоге больше свидетелей выступили в [SCOPE.sChar('unethical_dominus_scope').GetHerHis] защиту, чем с подтверждением обвинений.\n\nТеперь [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] может спать спокойно: ущерб, нанесённый репутации [SCOPE.sChar('unethical_dominus_scope').GetHerHis] и [SCOPE.sChar('unethical_dominus_scope').GetHerHis] семьи, был невелик. Кроме того, честное и открытое проведение судебного процесса снискало нам расположение не только рабов, возмущённых предполагаемыми бесчинствами богачей, но и граждан, которые убедились, что наша система правосудия по-прежнему беспристрастна и добросовестна."
 dhe_slave.11.desc_3:0 "Как показало расследование, [SCOPE.sChar('unethical_dominus_scope').GetName] — сама невинность. [SCOPE.sChar('unethical_dominus_scope').GetHerHim|U] принесены публичные извинения, а обвинения признаны обложными, хотя личность клеветника осталась неизвестной.\n\nГраждане довольны тем, что их репутация находится в надёжных руках нашей системы правосудия, однако рабы считают, что подход к судебному разбирательству был недостаточно серьёзным."
 dhe_slave.11.desc_4:0 "Несмотря на отсутствие прямых улик, усердная работа юристов и показания свидетелей позволили прийти к выводу, что [SCOPE.sChar('unethical_dominus_scope').GetName] [Select_CString(unethical_dominus_scope, 'виновна', 'виновен' )]. Несомненно, [SCOPE.sChar('unethical_dominus_scope').GetHerHim] казалось, что любые злодеяния сойдут [SCOPE.sChar('unethical_dominus_scope').GetHerHim] с рук, в конце концов [SCOPE.sChar('unethical_dominus_scope').GetSheHe] пользуется огромным авторитетом.\n\nСуд постановил, что [SCOPE.sChar('unethical_dominus_scope').GetName] выплатит штраф в разумном размере в качестве компенсации за свои проступки. Пусть это будет уроком для любых самодовольных наглецов, что ставят себя превыше закона."
 dhe_slave.11.desc_5:0 "В ходе беспристрастного расследования было обнаружено, что [SCOPE.sChar('unethical_dominus_scope').GetName] — сама невинность. Многие свидетели, выступившие на суде, оказались лжецами и стремились намеренно опорочить уважаемого гражданина.\n\nРяд документов и свидетельств были уничтожены из-за протёкшей крыши, впрочем, они были малосущественными и лишь подтверждали, что [SCOPE.sChar('unethical_dominus_scope').GetPraenomen] заслуживает полного оправдания.\n\nЭто воистину великий день для правосудия и хороший урок для любого, кто желает ввести в заблуждение сограждан или опорочить доброе имя выдающихся членов нашего общества. Да славится [ROOT.GetCountry.Custom('get_sky_god')]!"
 dhe_slave.11.desc_6:0 "Расследование обвинений против человека по имени [SCOPE.sChar('unethical_dominus_scope').GetName] можно завершить: к удовольствию суда была установлена невиновность обвиняемого. Многие свидетели, выступившие на суде, оказались лжецами и стремились намеренно опорочить уважаемого гражданина.\n\nХотя некоторые были недовольны недостаточной глубиной судебного разбирательства, мы по крайней мере предотвратили серьёзные недовольства среди рабов и при этом защитили свои интересы."
 dhe_slave.11.desc_7:0 "После нескольких недель сбора свидетельских показаний стало ясно, что дикие слухи, которыми полнится [ROOT.GetCountry.GetCapital.GetName], не отражают и доли той порочности, к которой имеет склонность [SCOPE.sChar('unethical_dominus_scope').GetPraenomen], и что злодеяния свои [SCOPE.sChar('unethical_dominus_scope').GetSheHe] творит во имя такого божества, как [ROOT.GetCountry.Custom('get_god_of_dead')]. Выступило бесчисленное множество свидетелей, от домашних рабов до катамитов, и невозможно всех их записать в клеветники.\n\nПосле консультаций со старейшими религиозными и юридическими экспертами не остаётся никаких сомнений в том, что и закон, и [ROOT.GetCountry.Custom('get_sky_god')] признали бы подобные злодеяния преступными. Весь город желает [SCOPE.sChar('unethical_dominus_scope').GetHerHis] крови, и вчера того же потребовали и верховные жрецы.\n\nТеперь мы должны решить, как поступить в [SCOPE.sChar('unethical_dominus_scope').GetHerHis] отношении: мягкое наказание может спровоцировать рабов, а излишней суровостью мы испортим отношения со всеми представителями семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName]."
 dhe_slave.11.a:0 "[SCOPE.sChar('unethical_dominus_scope').GetPraenomen] — несчастная жертва клеветы."
 dhe_slave.11.b:0 "Маленький штраф — это всё, чего [SCOPE.sChar('unethical_dominus_scope').GetSheHe] заслуживает."
 dhe_slave.11.c:0 "Испорченная репутация и штраф помогут прекратить весь этот разврат и бесчинства."
 dhe_slave.11.d:0 "Мы не потерпим такого позорного поведения."
 dhe_slave.11.dt:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют #R 20#! ед. @loyalty_icon! верности."
 dhe_slave.11.e:0 "[SCOPE.sChar('unethical_dominus_scope').GetPraenomen] — истинное воплощение зла, недостойное жизни."
 dhe_slave.11.et1:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют #R 40#! ед. @loyalty_icon! верности."
 dhe_slave.11.et2:0 "\nЭтот вариант доступен в связи с #Y честностью#! вашего правителя."
 dhe_slave.11.et3:0 "\nЭтот вариант доступен, так как ваш правитель #Y соперничает#! с таким человеком, как [SCOPE.sChar('unethical_dominus_scope').GetPraenomen]."
 dhe_slave.11.f:0 "Как-то слишком драматично."
 dhe_slave.11.g:0 "Освободить [SCOPE.sChar('unethical_dominus_scope').GetHerHis] врагов и дать им денег."
 dhe_slave.11.h:0 "Мерзкая личность."
 dhe_slave.11.ht:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] теряют #R 20#! ед. @loyalty_icon! верности."
 dhe_slave.11.i:0 "Трагическая потеря для правосудия."
 dhe_slave.11.it:0 "Все члены семьи [SCOPE.sChar('unethical_dominus_scope').GetFamily.GetName] получают #G 5#! ед. @loyalty_icon! верности."
 comet.1.t:0 "Замечена комета!"
 comet.1.desc:0 "Прошлой ночью над городом [ROOT.GetCountry.GetCapital.GetName] раздаётся раскат грома, а затем горожанам открывается ужасающее зрелище. Некоторым кажется, будто [ROOT.GetCountry.Custom('get_sky_god')] разрывает саму ткань бытия дымом и пламенем. Горожане дрожат от страха в своих домах, надеясь, что божественный гнев их минует.\n\nОднако едва появившись, это явление вскоре исчезает за горизонтом, будто бы истинная его цель — [SCOPE.sP('target').GetOwner.GetName].\n\nНемедленно посылают за людьми, способными истолковать произошедшее. [SCOPE.sChar('priest').GetPraenomen] полагает, что таким образом [ROOT.GetCountry.Custom('get_sky_god')] показывает, что мы избранный народ, и по-другому трактовать это нельзя.\n\n[SCOPE.sChar('priest').GetPraenomen] настаивает, что [ROOT.GetCountry.Custom('get_sky_god')], должно быть, немного просчитался, отправив знамение в земли наших [SCOPE.sP('target').GetOwner.GetAdjective]их соседей и что мы должны сделать всё возможное, чтобы завладеть таким городом, как [SCOPE.sP('target').GetName], где, по всей видимости, закончило путь это божественное послание."
 comet.1.a:0 "Как это... волнительно?"
 comet_sighted_1_tt:0 "Эта цепь событий продолжится после овладения территорией #Y [SCOPE.sP('target').GetName]#!."
 comet.3.t:0 "Вековой камень"
 comet.3.desc:0 "Большое углубление в земле неподалёку от ветхой усадьбы на окраине города [SCOPE.sP('target').GetName] явно портит умиротворяющую картину вокруг. В центре этого кратера лежит огромный валун. Ничего подобного наши советники ранее не видели, а один писец припомнил забытое пророчестве о послании, которое некогда отправил нашему народу сам [ROOT.GetCountry.Custom('get_sky_god')].\n\nПо прошествии нескольких дней толпы людей начинают стекаться к этому неестественному образованию, причём многие неистово молятся. Похоже, пророчество оказалось правдой: [ROOT.GetCountry.Custom('get_sky_god')] действительно выбрал такую державу, как [ROOT.GetCountry.GetName], исполнительницей своей воли."
 comet.3.a:0 "Воистину, мы получили благословение."
 comet.4.t:0 "Идол в городе [SCOPE.sP('target').GetName]"
 comet.4.desc:0 "Годы спустя после того, как наши люди обнаружили великий камень с небес, администрация города [SCOPE.sP('target').GetName] построила вокруг него святилище. Из самого камня вырезали внушительного идола, и в тяжкие времена он дарует нашему народу утешение и спокойствие.\n\nОднако, поскольку мы сейчас ведём войну, наши мудрейшие советники убеждены, что божественному посланию может грозить опасность, и рекомендуют перенести святилище в столицу, в город [ROOT.GetCountry.GetCapital.GetName], чего бы нам это ни стоило.\n\nНаше военное командование считает, что в таком ожесточённом конфликте идол может сыграть важнейшую роль."
 comet.4.a:0 "Пусть будет так."
 comet.4.b:0 "Мы просто не можем выделить ресурсы."
